id;direccion;latitud;longitud;nombre
426; ;-32414790700;-63233132500;Villa Maria (Cordoba - ARG)
428;Ituzaing%C3%B3+1280 ;-35171859221;-58230860377;Brandsen - YPF (Buenos Aires - ARG)
433; ; ;;Lihuel Calel (Rio Negro - ARG)
434; ;-48142723400;-67650375400;Tres Cerros (Santa Cruz - ARG)
435; ;-34781346400;-59676961900;Suipacha - YPF (Buenos Aires - ARG)
436; ;-47024489300;-67248001100;Fitz Roy (Santa Cruz - ARG)
445; ;-40608912342;-71645284636;Portezuelo (Neuquen - ARG)
460; ; ;;Cerro Azul - Terminal (Misiones - ARG)
462; ; ;;Mazza (Salta - ARG)
464; ; ;;Tartagal (Salta - ARG)
469; ;-23128068100;-64328467500;Oran - Terminal (Salta - ARG)
475; ;-23810259400;-64787305000;Libertador General San Martin (Jujuy - ARG)
479; ;-24228092900;-64869740000;San Pedro de Jujuy - Terminal (Jujuy - ARG)
481; ;-24795185300;-65398455700;Salta - Terminal (Salta - ARG)
490; ;-28475934400;-65774653000;Catamarca - Terminal (Catamarca - ARG)
498; ;-29453573300;-66861327100;La Rioja - Terminal (La Rioja - ARG)
502; ;-31342618233;-66589891389;Chepes - Terminal (La Rioja - ARG)
505; ;-31648778400;-68287861300;Caucete (San Juan - ARG)
510; ;-34631156500;-58629505600;Moron - Gaona y Vergara (Buenos Aires - ARG) (Buenos Aires - ARG)
513; ;-38821713300;-62701206200;Medanos - YPF (Buenos Aires - ARG)
514; ;-33023219600;-58537066000;Gualeguaychu - Terminal (Entre Rios - ARG)
521; ;-25120506500;-64125480700;Joaquin V.Gonzalez - Terminal (Salta - ARG)
524; ;-25615756700;-63268032100;Taco Pozo Terminal (Chaco - ARG)
525; ;-25802537800;-62831754700;Monte Quemado - Terminal (Santiago del Estero - ARG)
528; ;-26231684400;-61842534500;Pampa de los Guanacos - Agencia (Santiago del Estero - ARG)
530; ;-26407899100;-61415355200;Los Frentones - Agencia (Chaco - ARG)
533; ;-26685386135;-60728715416;Avia Terai - Terminal (Chaco - ARG)
534; ;-26786875400;-60430185900;Roque Saenz Pe\xc3\xb1a - Terminal (Chaco - ARG)
535; ;-26869884500;-60212920900;Quitilipi - Terminal (Chaco - ARG)
536; ;-26924671900;-60049070100;Machagai - Terminal (Chaco - ARG)
537; ;-27007711200;-59847679100;Presidencia de la Plaza (Chaco - ARG)
538; ;-27456769000;-59023146600;Resistencia - Terminal (Chaco - ARG)
540; ;-26191670900;-58193582300;Formosa - Terminal (Formosa - ARG)
541; ;-25294071700;-57721777000;Clorinda (Formosa - ARG)
545; ;-27499335600;-58814412400;Corrientes - Terminal (Corrientes - ARG)
546; ;-27482992000;-58947969700;Barranqueras - Agencia (Chaco - ARG)
